Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Mitsubishi Pajero Sport (2016),Rp 359.500.000,2016,9,Diesel,Manual,2400 cc,359500000
Honda Jazz S  Abu (2018),Rp 169.000.000,2018,7,Bensin,Matic,1500 cc,169000000
Toyota Alphard G Mpv (2025),Rp 895.000.000,2025,0,Bensin,Matic,2500 cc,895000000
Toyota Fortuner Trd Vrz 4x2 At (2019),Rp 350.000.000,2019,6,Bensin,Matic,2755 cc,350000000
Toyota Voxy At Cbu (2018),Rp 315.000.000,2018,7,Bensin,Matic,2000 cc,315000000
Dijual Mitsubishi Delica D5 Non Royal Tahun (2015),Rp 160.000.000,2015,10,Bensin,Matic,2000 cc,160000000
Toyota Calya G Mt (2019),Rp 135.000.000,2019,6,Bensin,Manual,1200 cc,135000000
Nissan Xtrail Xt Suv (2018),Rp 215.000.000,2018,7,Bensin,Matic,2500 cc,215000000
Toyota Innova Zenix G At (2023),Rp 360.000.000,2023,2,Hybrid,Matic,2000 cc,360000000
Nissan Terra Vl At Diesel (2018),Rp 325.000.000,2018,7,Diesel,Matic,2500 cc,325000000
Toyota New Avanza Type E Facelift 1300 Mt (2021),Rp 175.000.000,2021,4,Bensin,Manual,1300 cc,175000000
Honda Hrv S Cvt (2018),Rp 195.000.000,2018,7,Bensin,Matic,1500 cc,195000000
Toyota Calya G At  Nik 2023 (2023),Rp 125.000.000,2023,2,Bensin,Matic,1200 cc,125000000
Toyota Grn New Avanza G Mt (2020),Rp 195.000.000,2020,5,Bensin,Manual,1300 cc,195000000
Toyota Innova G At (2015),Rp 179.000.000,2015,10,Bensin,Matic,2000 cc,179000000
Nissan Serena Highway Starr (2019),Rp 250.000.000,2019,6,Bensin,Matic,2000 cc,250000000
Toyota Kijang Innova (2021),Rp 292.000.000,2021,4,Bensin,Matic,2400 cc,292000000
Toyota Avanza G Mt (2016),Rp 140.000.000,2016,9,Bensin,Manual,1300 cc,140000000
Honda Jazz Rs (2017),Rp 200.000.000,2017,8,Bensin,Matic,1500 cc,200000000
Toyota Veloz Q Tss Mpv (2021),Rp 235.000.000,2021,4,Bensin,Matic,1500 cc,235000000
Toyota Kijang Innova Zenix  Silver (2023),Rp 397.000.000,2023,2,Hybrid,Matic,2000 cc,397000000
Mitsubishi Outlander Gls At (2015),Rp 140.000.000,2015,10,Bensin,Matic,2000 cc,140000000
Honda Brio Satya E Cvt (2019),Rp 138.000.000,2019,6,Bensin,Matic,1200 cc,138000000
Mitsubishi Xpander (2021),Rp 222.000.000,2021,4,Bensin,Matic,1500 cc,222000000
Toyota Avanza Veloz (2021),Rp 193.000.000,2021,4,Bensin,Matic,1500 cc,193000000
Toyota Calya G Mt (2024),Rp 165.000.000,2024,1,Bensin,Manual,1200 cc,165000000
Toyota Avanza G At Matic  Merah (2015),Rp 118.500.000,2015,10,Bensin,Matic,1300 cc,118500000
Honda Brio E At (2019),Rp 145.000.000,2019,6,Bensin,Matic,1200 cc,145000000
Honda Brio E Cvt (2018),Rp 127.500.000,2018,7,Bensin,Matic,1200 cc,127500000
Suzuki Baleno Hatchback At (2019),Rp 171.000.000,2019,6,Bensin,Matic,1500 cc,171000000
Mercedes Benz C200 Eq Boost W205 Avantgarde (2019),Rp 442.000.000,2019,6,Bensin,Matic,1500 cc,442000000
Toyota Innova V At (2022),Rp 365.000.000,2022,3,Diesel,Matic,2400 cc,365000000
Honda Hrv S Cvt (2018),Rp 205.000.000,2018,7,Bensin,Matic,1500 cc,205000000
Toyota Kijang Innova Venturer Mpv (2019),Rp 291.000.000,2019,6,Bensin,Matic,2000 cc,291000000
Toyota Kijang Innova (2015),Rp 135.000.000,2015,10,Bensin,Matic,2000 cc,135000000
Honda Brio E (2016),Rp 117.000.000,2016,9,Bensin,Matic,1500 cc,117000000
Toyota Kijang Innova G Mpv (2020),Rp 257.000.000,2020,5,Bensin,Matic,2000 cc,257000000
Jual Yaris Trd (2018),Rp 205.000.000,2018,7,Bensin,Matic,1500 cc,205000000
Honda Brio Rs (2022),Rp 167.500.000,2022,3,Bensin,Matic,1200 cc,167500000
Honda Brio Rs Hatchback (2021),Rp 170.000.000,2021,4,Bensin,Matic,1200 cc,170000000
Toyota Innova G 20 At (2020),Rp 288.000.000,2020,5,Bensin,Matic,1500 cc,288000000
Daihatsu Ayla (2022),Rp 131.000.000,2022,3,Bensin,Matic,1200 cc,131000000
Toyota Avanza Veloz 1 5 Matic (2015),Rp 143.000.000,2015,10,Bensin,Matic,1500 cc,143000000
Toyota Veloz Q Tss Premium Color Mpv (2022),Rp 242.000.000,2022,3,Bensin,Matic,1500 cc,242000000
Toyota Calya G Mt (2021),Rp 145.000.000,2021,4,Bensin,Manual,1200 cc,145000000
Toyota Avanza (2021),Rp 165.000.000,2021,4,Bensin,Manual,1300 cc,165000000
Honda Brv Prestige Cvt At (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Toyota Vellfire Z At (2015),Rp 230.000.000,2015,10,Bensin,Matic,2400 cc,230000000
Jazz Rs Matic (2015),Rp 137.000.000,2015,10,Bensin,Matic,1500 cc,137000000
Toyota Innova G At (2017),Rp 220.000.000,2017,8,Bensin,Matic,2000 cc,220000000
Toyota Kijang Innova V Mpv (2021),Rp 382.000.000,2021,4,Bensin,Matic,2400 cc,382000000
Suzuki Ertiga Sport At (2019),Rp 185.000.000,2019,6,Bensin,Matic,1500 cc,185000000
Toyota Innova V Luxury (2015),Rp 149.000.000,2015,10,Bensin,Matic,1500 cc,149000000
Toyota Hiace Type Commuter 2500 Mt (2019),Rp 475.000.000,2019,6,Diesel,Manual,2500 cc,475000000
Toyota Kijang Innova G Bensin At (2022),Rp 287.000.000,2022,3,Bensin,Matic,2000 cc,287000000
Honda Brio Rs Abu (2021),Rp 171.000.000,2021,4,Bensin,Matic,1200 cc,171000000
Toyota Kijang Innova G Bensin At (2015),Rp 165.000.000,2015,10,Bensin,Matic,2000 cc,165000000
Honda Brio Rs At (2021),Rp 176.000.000,2021,4,Bensin,Matic,1200 cc,176000000
Toyota Yaris S Trd Heykers (2017),Rp 170.000.000,2017,8,Bensin,Matic,1500 cc,170000000
Toyota Veloz Q Tss At  Hitam (2022),Rp 238.000.000,2022,3,Bensin,Matic,1500 cc,238000000
Daihatsu Ayla X Mt (2015),Rp 73.000.000,2015,10,Bensin,Manual,1000 cc,73000000
Toyota Veloz Q Tss Mpv (2021),Rp 232.000.000,2021,4,Bensin,Matic,1500 cc,232000000
Mitsubishi Xpander Ultimate At  Silver (2018),Rp 195.000.000,2018,7,Bensin,Matic,1500 cc,195000000
Toyota Avanza (2021),Rp 202.000.000,2021,4,Bensin,Matic,1500 cc,202000000
Ayla 12 R  Manual (2017),Rp 100.100.100,2017,8,Bensin,Manual,1200 cc,100100100
Honda Jazz Rs Cvt (2018),Rp 205.000.000,2018,7,Bensin,Matic,1500 cc,205000000
Toyota Avanza Veloz Luxury At (2015),Rp 126.000.000,2015,10,Bensin,Matic,1500 cc,126000000
Honda New Crv Prestige (2015),Rp 225.000.000,2015,10,Bensin,Matic,2400 cc,225000000
Toyotq Sienta Q At (2017),Rp 170.000.000,2017,8,Bensin,Matic,1500 cc,170000000
Toyota Avanza G Bensin At (2017),Rp 124.500.000,2017,8,Bensin,Matic,1300 cc,124500000
Toyota Innova 20 G At (2018),Rp 229.000.000,2018,7,Bensin,Matic,2000 cc,229000000
Toyota Kijang V At (2019),Rp 338.000.000,2019,6,Bensin,Matic,2400 cc,338000000
Toyota Innova Zenix V Hybrid Modelista (2023),Rp 425.000.000,2023,2,Hybrid,Matic,2000 cc,425000000
Toyota Yaris Gr Sport At  Hitam (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Toyota Avanza 13 G At (2020),Rp 175.000.000,2020,5,Bensin,Matic,1500 cc,175000000
Honda Brio E Cvt (2017),Rp 124.900.000,2017,8,Bensin,Matic,1200 cc,124900000
Honda Brio Satya E At (2015),Rp 121.000.000,2015,10,Bensin,Matic,1200 cc,121000000
Toyota Kijang Innova G Bensin At (2018),Rp 225.000.000,2018,7,Bensin,Matic,2000 cc,225000000
Toyota Kijang Innova Zenix (2023),Rp 495.000.000,2023,2,Hybrid,Matic,2000 cc,495000000
Toyota Kijang Innova G Solar Mt (2024),Rp 395.000.000,2024,1,Diesel,Matic,2400 cc,395000000
Suzuki Ertiga Gl At (2020),Rp 175.000.000,2020,5,Bensin,Matic,1500 cc,175000000
Toyota Avanza Veloz Q  Putih (2022),Rp 229.000.000,2022,3,Bensin,Matic,1500 cc,229000000
Toyota Avanza Veloz (2022),Rp 243.000.000,2022,3,Bensin,Matic,1500 cc,243000000
Toyota Kijang Innova G Bensin At (2021),Rp 289.000.000,2021,4,Bensin,Matic,2000 cc,289000000
Daihatsu Granmax Minibus Type D Ff Fh 1300 Mt (2020),Rp 141.000.000,2020,5,Bensin,Manual,1300 cc,141000000
Honda Hrv E At  Hitam (2018),Rp 215.000.000,2018,7,Bensin,Matic,1500 cc,215000000
Honda Jazz Rs Hatchback (2017),Rp 187.000.000,2017,8,Bensin,Matic,1500 cc,187000000
Mitsubishi Pajero Sport Dakar Ultimate (2019),Rp 435.000.000,2019,6,Diesel,Matic,2400 cc,435000000
Toyota Fortuner Vnt Trd Sportivo Diesel  At (2015),Rp 285.000.000,2015,10,Diesel,Matic,2500 cc,285000000
Toyota Avanza E Bensin Mt (2023),Rp 205.000.000,2023,2,Bensin,Manual,1300 cc,205000000
Toyota Sienta Q Bensin (2017),Rp 150.000.000,2017,8,Bensin,Matic,1500 cc,150000000
Honda Brv E Prestige At  Putih (2021),Rp 207.000.000,2021,4,Bensin,Matic,1500 cc,207000000
Toyota Kijang Innova G Bensin At (2021),Rp 270.000.000,2021,4,Bensin,Matic,2000 cc,270000000
